,date,announcement
452,1995-01-06,"Bath Iron Works Corporation, Bath, Maine, is being awarded a $367,647,705 modification to previously awarded contract N00024-94-C-2808 for construction of one FY 95 DDG 51 Class Aegis Destroyer. Work will be performed in Bath, Maine, and is expected to be completed by October 2000. Contract funds will not expire at the end of the current fiscal year. The Naval Sea Systems Command, Washington, D.C., is the contracting activity. Alliant Techsystems, Inc., Hopkins, Minnesota, is being awarded a $59,145,000 firm-fixed-price contract for 186 MK 46 Mod 5 torpedo main assemblies and 88 MK 46 Mod 5 kits for the governments of Taiwan, Egypt, and additional Foreign Military Sales (FMS) country. Work will be performed in Hopkins, Minnesota (10%), Mukilteo, Washington (45%), and New Brighton, Minnesota (45%), and is expected to be completed by January 1997. Contract funds will not expire at the end of the current fiscal year. This contact was not competitively procured. The Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-95-C-6184)."
532,1995-01-26,"Contract Fabrication and Design, Incorporated, Princeton, Texas, is being awarded a $6,692,533 firm fixed price contract for production of 111 pod assembly/ammo feed systems for the OH-58D Kiowa Warrior helicopter. Work will be performed in Princeton, Texas, and is expected to be completed not later than June 29, 1996. Contract funds will not expire at the end of the current fiscal year. This is a sole source contract initiated on August 19, 1994. The contracting activity is the U.S. Army Armament, Munitions and Chemical Command, Rock Island, Illinois. (DAAE20-95-C-0098) Hercules, Incorporated, Hercules Aerospace Company, Wilmington, Delaware, is being awarded a $6,756,847.95 modification to a cost plus award fee, cumulative total value $638,696,212.07 contract. The contract is for the operation and maintenance of the Radford Army Ammunition Plant, a government-owned, contractor-operated facility. This modification is for the purchase of materials used in the manufacture of the MK-90 propellant grain for the 2.75-inch rocket. Work will be performed at the Radford Army Ammunition Plant in Radford, Virginia, and is expected to be completed by December 31, 1995. Contract funds will not expire at the end of the current fiscal year. This is a sole source contract initiated on February 1, 1990. The contracting activity is the U.S. Army Armament, Munitions and Chemical Command, Rock Island, Illinois. (DAAA09-91-Z-0001)"
615,1995-02-09,"SPARTA, Incorporated*, Huntsville, Alabama, is being awarded a $28,096,565 delivery order amount of a cost plus fixed fee/indefinite delivery contract for Technical Test Bed and Foreign Material Program support, including engineering expertise to evaluate and document the design and characteristics of foreign weapon systems. Work will be performed in Huntsville, Alabama, and is expected to be completed by March 18, 2000. There were 116 bids solicited on December 29, 1993, and 2 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-95-D-1501)."
671,1995-02-21,"Martin Marietta Astro Space, East Windsor, New Jersey, is being awarded a $5,285,000 face value increase to a cost-plus-award-fee contract. This contract provides for concept exploration and definition support for the Nation Polar-Orbiting Operational Environmental Satellite System. Contract is expected to be completed August 1995. Contract funds of $5,285,000 will expire at the end of the current fiscal year. The Space and Missile Systems Center, Los Angeles, California, is the contracting activity (F04701-91-C-0066, P00037). Science Applications International Corporation, Space and Defense Group, Torrance, California, is being awarded a $24,999,941 (Estimated) cost-plus-award-fee contract. This contract provides for engineering, analysis and design support for the Air Force Ballistic Missile Defense Program Office. Contract is expected to be completed February 1997. Contract funds will not expire at the end of the current fiscal year. The Space and Missile Systems Center, Los Angeles, California is the contracting activity (F04701-93-C-0011, P00080)."
709,1995-02-28,"Newport News Shipbuilding Company, Newport News, Virginia, is being awarded a $31,999,965 modification to previously awarded contract N00024-94-C-2105 for advanced planning and material procurement for the Refueling and Complex Overhaul (RCOH) of the USS Nimitz (CVN 68), as well as the repair, maintenance and alteration of the Surface Ship Support Barge (SSSB) to support the Nimitz overhaul. Work will be performed in Newport News, Virginia, and is expected to be completed by January 1996. Contract funds will not expire at the end of the current fiscal year. The Naval Sea Systems Command, Washington, D.C., is the contracting activity. Colejon/Jones (Joint Venture), Cleveland, Ohio, is being awarded a $17,686,799 (first of five program years) combination firm-fixed-price with award fee and indefinite quantity multi-year contract for facilities maintenance and utility system services at the Navy Public Works Center, Jacksonville, Florida. Work is expected to be completed within 60 months. The total cumulative contract value, including options, is $95,535,240. Contract funds will not expire at the end of the current fiscal year. This contract was competitively procured with 192 proposals solicited and eight offers received. The Navy Public Works Center Jacksonville, Florida, is the contracting activity (N68931-93-D-9620)."
814,1995-03-15,"McDonnell Douglas Government Aerospace, Transport Aircraft, Long Beach, California, is being awarded a $13,181,054 face value increase to a cost-plus-fixed-fee contract for the development and incorporation of configuration changes to the defensive systems on five C-17 aircraft. Contract is expected to be completed February 1997. Contract funds will not expire at the end of the current fiscal year. The Aeronautical Systems Center, Fairborn, Ohio, is the contracting activity (F33657-81-C-2108, P00667). Northrop Grumman Corporation, Electronics Systems Division, Hawthorne, California, is being awarded a $8,000,000 face value increase to a fixed-price-incentive-firm contract for repair of the Inertial Measurement Unit applicable to the Peacekeeper Intercontinental Ballistic Missile. Contract is expected to be completed September 1995. Contract funds of $8,000,000 will expire at the end of the current fiscal year. The Space and Missile Systems Center, San Bernardino, California, is the contracting activity (F04704-99-C-0028, P00084)."
1298,1995-05-25,"Lockheed Missiles and Space Co., Inc., Sunnyvale, California, is being awarded a $92,000,000 cost-plus-incentive-fee contract for motor consolidation qualification, boost motor consolidation technology transfer and deployed system support transition, in support of the FY 95 TRIDENT II (D5) Missile program for U.S. (85%) and United Kingdom (15%) requirements. Work will be performed Sunnyvale, California, and is expected to be completed by May 1998. Contract funds will not expire at the end of the current fiscal year. This contract was not competitively procured. The Navy's Strategic Systems Program, Washington, D.C., is the contracting activity (N00030-95-C-0095). Analysis and Technology, Inc., Technology Park, North Stonington, Connecticut, is being awarded a $25,376,686 indefinite delivery/indefinite quantity contract with cost-plus-fixed-fee provisions for evaluating and developing programs to determine multi-platform sonar, combat, communications and weapon system advanced concept requirements. Work will be performed in North Stonington, Connecticut, and is expected to be completed by May 2000. Contract funds will not expire at the end of the current fiscal year. This contract was competitively procured with 58 proposals solicited and two offers received. The Naval Undersea Warfare Center Detachment, New London, Connecticut, is the contracting activity (N66604-95-D-0047)."
1324,1995-05-31,"Martin Marietta & Westinghouse Electronics System, a joint venture, Orlando, Florida, is being awarded a $10,302,000 modification to a firm fixed price contract to exercise contract option 3 for integrated logistics support for Fire Control Radar. Work will be performed in Orlando, Florida (50%), and Baltimore, Maryland (50%), and is expected to be completed by November 30, 1995. Contract funds will not expire at the end of the current fiscal year. This is a sole source contract initiated on July 8, 1994. The contracting activity is the U.S. Army Aviation and Troop Command, St. Louis, Missouri (DAAJ09-95-C-A002). QuesTech, Incorporated, Falls Church, Virginia, is being awarded a delivery order amount of $50,000 as part of an estimated $228,000,000 indefinite delivery/indefinite quantity with time and materials contract for services for a wide variety of program support for all elements of the acquisition cycle and the subsequent support of the systems in the field. This tasking will cover areas such as support for mission analysis, concept exploration, technology demonstration/validation, and support for full-scale engineering development and production. Work will be performed at Vint Hill Farms Station, Warrenton, Virginia, and is expected to be completed by May 30, 2000. There were 49 bids solicited on May 2, 1994, and 4 bids received. The contracting activity is the U.S. Army Communications-Electronics Command Acquisition Center, Warrenton, Virginia (DAAB10-95-D-0505)."
1330,1995-06-01,"American Seating Company, Grand Rapids, Michigan, was awarded on May 31, 1995, a firm fixed price indefinite delivery requirements contract, (appropriation number and dollar value will be issued with each delivery order) with an estimated cumulative total of $11,000,000, if all options are exercised, for systems furniture for the Defense Intelligence Agency. Work will be performed in Grand Rapids, Michigan, and is expected to be completed by September 30, 1999. This is a sole source contract initiated on April 29, 1995. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-95-D-1502)."
1340,1995-06-01,"American Seating Company, Grand Rapids, Michigan, was awarded on May 31, 1995, a firm fixed price indefinite delivery requirements contract, (appropriation number and dollar value will be issued with each delivery order) with an estimated cumulative total of $11,000,000, if all options are exercised, for systems furniture for the Defense Intelligence Agency. Work will be performed in Grand Rapids, Michigan, and is expected to be completed by September 30, 1999. This is a sole source contract initiated on April 29, 1995. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-95-D-1502)."
1352,1995-06-05,"Lockheed Martin Corporation, Philadelphia, Pennsylvania, is being awarded a $12,600,000 face value increase to a Firm Fixed Price contract for an Operations Support System for on-orbit support of the NAVSTAR Global Positioning System Replacement Satellite system. Contract is expected to be completed June 1996. Contract funds will not expire at the end of the current fiscal year. Space and Missile Systems Center, Los Angeles, California is the contracting activity (F04701-89/C-0073, P00099). Rockwell International Corporation, Duluth, Georgia, is being awarded a $55,290,690 Firm fixed price contract. This action is Lot 6 of the AGM-130 Standoff Weapon, providing 102 missiles with associated hardware, data, repair provisions and warranty, 20 technology upgrades, 25 test program sets, 38 captive aircrew trainers and miscellaneous missile spares. Contract is expected to be completed August 1997. Contract funds will not expire at the end of the current fiscal year. One bid was solicited and one proposal was received. Solicitation was issued in December 1994 and negotiations were complete in April 1995. Aeronautical Systems Center, Eglin Air Force Base, Florida is the contracting activity (F086626-95/C-0215)."
1450,1995-06-21,"Texas Instruments, Inc., Dallas, Texas, is being awarded a $9,200,000 firm-fixed-price contract for 40 operational test sets for the High Speed Anti-Radiation Missile for the U.S. Air Force. Work will be performed in Lewisville, Texas, and is expected to be completed by June 1997. Contract funds will not expire at the end of the current fiscal year. This contract was not competitively procured. The Naval Air Systems Command, Washington, D.C., is the contracting activity (N00019-95-C-0167). McDonnell Douglas Corporation, McDonnell Douglas Aerospace, St. Louis, Missouri, is being awarded a $25,000,000 cost-plus-fixed-fee order against a basic ordering agreement for engineering support necessary for the development of the F/A-18 tactical reconnaissance system for the U.S. Navy and U.S. Marine Corps. Work will be performed in St. Louis, Missouri, and is expected to be completed by October 1995. Contract funds will not expire at the end of the current fiscal year. This contract was not competitively procured. The Naval Air Systems Command, Washington, D.C., is the contracting activity (N00019-94-G-0291)."
1466,1995-06-23,"Kollsman Division of Sequa Corporation, Merrimack, New Hampshire, is being awarded a $36,205,272 firm-fixed-price contract for 44 night targeting systems for AH-1W helicopters for the U.S. Marine Corps. Work will be performed in Merrimack, New Hampshire, and is expected to be completed by June 1997. Contract funds will not expire at the end of the current fiscal year. This contract was not competitively procured. The Naval Air Systems Command, Washington, D.C., is the contracting activity (N00019-95-C-0211). Norfolk Shipbuilding and Drydock Corp., Norfolk, Virginia, is being awarded a $19,072,297 firm-fixed-price contract for the drydocking, repair, overhaul and upgrade of the U.S. Navy's ammunition ship USNS FLINT (AE 32). Work will be performed in Norfolk, Virginia, and the contract performance period is 300 days. Contract funds will not expire at the end of the current fiscal year. This contract contains an option, which if exercised, will bring the total cumulative value of the contract to $25,800,000. This contract was competitively procured with 33 proposals solicited and nine offers received. The U.S. Navy's Military Sealift Command, Central Technical Activity, Washington, D.C., is the contracting activity (N62387-95-C-3072)."
